net_junctionCornerDetail;net_limitTurnSpeed;net_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;type_allow;type_id;type_numLanes;type_oneway;type_priority;type_speed;type_width;type_disallow;edge_function;edge_id;lane_disallow;lane_id;lane_index;lane_length;lane_shape;lane_speed;edge_from;edge_name;edge_priority;edge_to;edge_type;param_key;param_value;edge_shape;edge_spreadType;tlLogic_id;tlLogic_offset;tlLogic_programID;tlLogic_type;phase_duration;phase_maxDur;phase_minDur;phase_state;junction_id;junction_incLanes;junction_intLanes;junction_shape;junction_type;junction_x;junction_y;request_cont;request_foes;request_index;request_response;connection_dir;connection_from;connection_fromLane;connection_state;connection_to;connection_toLane;connection_via;connection_linkIndex;connection_tl;roundabout_edges;roundabout_nodes
5;5.50;1.3;;;;;;;;;;;;;internal;:1273827461_2;tram rail_urban rail rail_electric rail_fast ship;:1273827461_2_0;0;5.00;1251.27,360.22 1252.03,355.28;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273827461_3;tram rail_urban rail rail_electric rail_fast ship;:1273827461_3_0;0;4.67;1251.27,360.22 1252.24,359.16 1253.09,358.88 1253.82,359.40 1254.43,360.71;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273852858_0;tram rail_urban rail rail_electric rail_fast ship;:1273852858_0_0;0;11.12;1358.88,693.47 1357.92,691.23 1356.18,689.48 1353.66,688.22 1350.36,687.45;8.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273852858_1;tram rail_urban rail rail_electric rail_fast ship;:1273852858_1_0;0;14.78;1358.88,693.47 1355.76,679.02;11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273852858_2;tram rail_urban rail rail_electric rail_fast ship;:1273852858_2_0;0;9.11;1350.81,684.28 1353.45,684.28 1355.15,683.41 1355.92,681.65 1355.76,679.02;5.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273852858_3;tram rail_urban rail rail_electric rail_fast ship;:1273852858_3_0;0;4.67;1350.81,684.28 1351.88,685.24 1352.17,686.09 1351.66,686.82 1350.36,687.45;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273955905_0;tram rail_urban rail rail_electric rail_fast ship;:1273955905_0_0;0;14.26;596.87,791.66 585.07,799.51;9.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273955905_0;tram rail_urban rail rail_electric rail_fast ship;:1273955905_0_1;1;14.26;595.16,788.95 583.22,796.89;9.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273955905_2;tram rail_urban rail rail_electric rail_fast ship;:1273955905_2_0;0;11.85;595.16,788.95 591.68,790.70 588.80,791.21 586.50,790.46 584.80,788.48;7.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273955905_3;tram rail_urban rail rail_electric rail_fast ship;:1273955905_3_0;0;9.04;595.16,788.95 592.88,789.96 590.86,789.97 589.11,788.97 587.62,786.96;6.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273968939_0;tram rail_urban rail rail_electric rail_fast ship;:1273968939_0_0;0;5.00;506.92,1511.30 509.76,1515.42;11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273968939_0;tram rail_urban rail rail_electric rail_fast ship;:1273968939_0_1;1;5.00;504.29,1513.12 507.13,1517.24;11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1354143311_0;tram rail_urban rail rail_electric rail_fast ship;:1354143311_0_0;0;14.85;1330.66,556.47 1327.47,541.96;11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1354143311_1;tram rail_urban rail rail_electric rail_fast ship;:1354143311_1_0;0;9.12;1322.65,547.28 1325.29,547.26 1326.98,546.36 1327.71,544.60 1327.47,541.96;5.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1354143317_0;tram rail_urban rail rail_electric rail_fast ship;:1354143317_0_0;0;9.56;1327.19,379.75 1324.80,388.99;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1354143317_0;tram rail_urban rail rail_electric rail_fast ship;:1354143317_0_1;1;9.56;1326.85,382.93 1324.29,392.15;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1354143317_0;tram rail_urban rail rail_electric rail_fast ship;:1354143317_0_2;2;9.56;1326.51,386.11 1323.78,395.30;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1354143317_3;tram rail_urban rail rail_electric rail_fast ship;:1354143317_3_0;0;4.73;1320.03,395.76 1324.29,392.15;10.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1354143317_3;tram rail_urban rail rail_electric rail_fast ship;:1354143317_3_1;1;4.73;1320.03,395.76 1321.09,395.34 1321.86,395.14 1322.65,395.14 1323.78,395.30;8.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1354143319_0;tram rail_urban rail rail_electric rail_fast ship;:1354143319_0_0;0;8.99;1643.92,428.12 1643.96,430.59 1644.77,432.45 1646.36,433.72 1648.73,434.39;6.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1354143319_1;tram rail_urban rail rail_electric rail_fast ship;:1354143319_1_0;0;11.10;1637.69,432.95 1648.73,434.39;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1354143319_1;tram rail_urban rail rail_electric rail_fast ship;:1354143319_1_1;1;11.10;1637.29,436.12 1648.30,437.56;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1354143319_1;tram rail_urban rail rail_electric rail_fast ship;:1354143319_1_2;2;11.10;1636.89,439.30 1647.87,440.73;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1405230313_0;;:1405230313_0_0;0;4.97;525.26,1307.13 525.62,1308.33 526.08,1310.09 526.36,1311.81 526.18,1312.88;6.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1405230313_0;;:1405230313_0_1;1;4.97;525.26,1307.13 525.34,1307.92 525.13,1308.78 524.62,1309.72 523.82,1310.73;5.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1620443301_0;;:1620443301_0_0;0;6.19;1451.80,408.53 1453.00,408.45 1454.26,407.90 1455.55,406.90 1456.89,405.44;7.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1620443301_1;tram rail_urban rail rail_electric rail_fast ship;:1620443301_1_0;0;6.72;1451.80,408.53 1458.48,409.39;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1620443301_1;tram rail_urban rail rail_electric rail_fast ship;:1620443301_1_1;1;6.72;1451.40,411.71 1458.07,412.56;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1620443301_1;tram rail_urban rail rail_electric rail_fast ship;:1620443301_1_2;2;6.72;1451.01,414.88 1457.67,415.73;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1721488409_0;tram rail_urban rail rail_electric rail_fast ship;:1721488409_0_0;0;5.03;1474.25,1314.01 1470.00,1316.70;11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1721488409_0;tram rail_urban rail rail_electric rail_fast ship;:1721488409_0_1;1;5.03;1472.53,1311.31 1468.29,1314.00;11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1721488410_0;tram rail_urban rail rail_electric rail_fast ship;:1721488410_0_0;0;5.02;1419.96,1199.53 1424.26,1196.95;11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1829386762_0;tram rail_urban rail rail_electric rail_fast ship;:1829386762_0_0;0;7.02;447.28,1875.10 443.29,1869.33;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
